Cage ID,Sex,Virgin,Yeast,Density,Total,Day,Event
1,F,Y,N,100,95,5,1.0
1,F,Y,N,100,95,5,1.0
1,F,Y,N,100,95,5,1.0
1,F,Y,N,100,95,5,1.0
1,F,Y,N,100,95,24,1.0
1,F,Y,N,100,95,25,1.0
1,F,Y,N,100,95,28,1.0
1,F,Y,N,100,95,36,1.0
1,F,Y,N,100,95,54,1.0
1,F,Y,N,100,95,54,1.0
1,F,Y,N,100,95,55,1.0
1,F,Y,N,100,95,55,1.0
1,F,Y,N,100,95,55,1.0
1,F,Y,N,100,95,56,1.0
1,F,Y,N,100,95,56,1.0
1,F,Y,N,100,95,57,1.0
1,F,Y,N,100,95,57,1.0
1,F,Y,N,100,95,57,1.0
1,F,Y,N,100,95,57,1.0
1,F,Y,N,100,95,58,1.0
1,F,Y,N,100,95,58,1.0
1,F,Y,N,100,95,58,1.0
1,F,Y,N,100,95,59,1.0
1,F,Y,N,100,95,59,1.0
1,F,Y,N,100,95,59,1.0
1,F,Y,N,100,95,60,1.0
1,F,Y,N,100,95,60,1.0
1,F,Y,N,100,95,61,1.0
1,F,Y,N,100,95,61,1.0
1,F,Y,N,100,95,61,1.0
1,F,Y,N,100,95,62,1.0
1,F,Y,N,100,95,62,1.0
1,F,Y,N,100,95,63,1.0
1,F,Y,N,100,95,63,1.0
1,F,Y,N,100,95,63,1.0
1,F,Y,N,100,95,64,1.0
1,F,Y,N,100,95,64,1.0
1,F,Y,N,100,95,64,1.0
1,F,Y,N,100,95,64,1.0
1,F,Y,N,100,95,64,1.0
1,F,Y,N,100,95,64,1.0
1,F,Y,N,100,95,64,1.0
1,F,Y,N,100,95,64,1.0
1,F,Y,N,100,95,64,1.0
1,F,Y,N,100,95,65,1.0
1,F,Y,N,100,95,65,1.0
1,F,Y,N,100,95,65,1.0
1,F,Y,N,100,95,65,1.0
1,F,Y,N,100,95,65,1.0
1,F,Y,N,100,95,65,1.0
1,F,Y,N,100,95,66,1.0
1,F,Y,N,100,95,66,1.0
1,F,Y,N,100,95,66,1.0
1,F,Y,N,100,95,66,1.0
1,F,Y,N,100,95,66,1.0
1,F,Y,N,100,95,66,1.0
1,F,Y,N,100,95,66,1.0
1,F,Y,N,100,95,66,1.0
1,F,Y,N,100,95,67,1.0
1,F,Y,N,100,95,67,1.0
1,F,Y,N,100,95,67,1.0
1,F,Y,N,100,95,67,1.0
1,F,Y,N,100,95,67,1.0
1,F,Y,N,100,95,68,1.0
1,F,Y,N,100,95,68,1.0
1,F,Y,N,100,95,68,1.0
1,F,Y,N,100,95,69,1.0
1,F,Y,N,100,95,69,1.0
1,F,Y,N,100,95,69,1.0
1,F,Y,N,100,95,70,1.0
1,F,Y,N,100,95,70,1.0
1,F,Y,N,100,95,70,1.0
1,F,Y,N,100,95,70,1.0
1,F,Y,N,100,95,70,1.0
1,F,Y,N,100,95,71,1.0
1,F,Y,N,100,95,71,1.0
1,F,Y,N,100,95,71,1.0
1,F,Y,N,100,95,71,1.0
1,F,Y,N,100,95,71,1.0
1,F,Y,N,100,95,72,1.0
1,F,Y,N,100,95,72,1.0
1,F,Y,N,100,95,73,1.0
1,F,Y,N,100,95,73,1.0
1,F,Y,N,100,95,73,1.0
1,F,Y,N,100,95,74,1.0
1,F,Y,N,100,95,75,1.0
1,F,Y,N,100,95,75,1.0
1,F,Y,N,100,95,75,1.0
1,F,Y,N,100,95,75,1.0
1,F,Y,N,100,95,77,1.0
1,F,Y,N,100,95,78,1.0
1,F,Y,N,100,95,79,1.0
1,F,Y,N,100,95,79,1.0
1,F,Y,N,100,95,80,1.0
1,F,Y,N,100,95,83,1.0
2,F,Y,N,100,95,5,1.0
2,F,Y,N,100,95,8,1.0
