Day,Treatment,Yeast,Mating,Sex,CageID,Rep,TotalWeight1,TotalWeight2,BoatWeight1,BoatWeight2,AvTotal,AvBoat,AvBody
10,8,Y,Y,F,3,1,54.657,54.651,52.789,52.751,54.654,52.77,0.3768
10,8,Y,Y,M,3,2,77.74,77.726,76.998,76.96,77.733,76.979,0.1885
10,8,Y,Y,F,4,1,66.966,66.998,65.076,65.167,66.982,65.1215,0.3721
10,8,Y,Y,M,4,2,74.562,74.548,73.553,73.537,74.555,73.545,0.202
4,1,N,N,F,1,1,61.427,61.455,59.721,59.731,61.441,59.726,0.343
4,1,N,N,F,1,2,61.381,61.354,59.466,59.484,61.3675,59.475,0.3785
4,1,N,N,F,2,1,74.94,74.937,73.383,73.445,74.9385,73.414,0.3049
4,1,N,N,F,2,2,68.275,68.236,66.555,66.564,68.2555,66.5595,0.3392
4,1,N,N,F,3,1,69.309,69.311,68.288,68.306,69.31,68.297,0.337666667
4,1,N,N,F,3,2,66.242,66.263,64.652,64.581,66.2525,64.6165,0.3272
4,1,N,N,F,4,1,62.664,62.661,61.345,61.362,62.6625,61.3535,0.32725
4,1,N,N,F,4,2,57.912,57.925,56.232,56.223,57.9185,56.2275,0.3382
4,2,N,N,M,1,1,76.817,76.814,75.577,75.581,76.8155,75.579,0.2473
4,2,N,N,M,1,2,72.567,72.597,71.376,71.382,72.582,71.379,0.2406
4,2,N,N,M,2,1,73.366,73.336,72.252,72.244,73.351,72.248,0.2206
4,2,N,N,M,2,2,74.444,74.452,73.25,73.252,74.448,73.251,0.2394
4,2,N,N,M,3,1,68.887,68.863,67.679,67.675,68.875,67.677,0.2396
4,2,N,N,M,3,2,65.912,65.881,64.66,64.713,65.8965,64.6865,0.242
4,2,N,N,M,4,1,67.161,67.167,65.967,66.028,67.164,65.9975,0.2333
4,2,N,N,M,4,2,65.938,65.926,64.684,64.698,65.932,64.691,0.2482
4,3,Y,N,F,1,1,89.863,89.859,87.863,87.859,89.861,87.861,0.4
4,3,Y,N,F,1,2,63.422,63.418,61.333,61.278,63.42,61.3055,0.4229
4,3,Y,N,F,2,1,72.754,72.759,70.876,70.843,72.7565,70.8595,0.3794
4,3,Y,N,F,2,2,61.001,60.996,58.996,59.013,60.9985,59.0045,0.3988
4,3,Y,N,F,3,1,77.922,77.986,75.861,75.871,77.954,75.866,0.4176
4,3,Y,N,F,3,2,53.886,53.889,52.271,52.235,53.8875,52.253,0.3269
4,3,Y,N,F,4,1,75.615,75.657,73.383,73.312,75.636,73.3475,0.4577
4,3,Y,N,F,4,2,68.218,68.171,66.139,66.137,68.1945,66.138,0.4113
4,4,Y,N,M,1,1,67.568,67.578,66.41,66.409,67.573,66.4095,0.2327
4,4,Y,N,M,1,2,80.02,80.026,78.766,78.778,80.023,78.772,0.2502
4,4,Y,N,M,2,1,69.361,69.354,68.131,68.13,69.3575,68.1305,0.2454
4,4,Y,N,M,2,2,74.342,74.36,73.239,73.247,74.351,73.243,0.2216
4,4,Y,N,M,3,1,65.698,65.644,64.513,64.455,65.671,64.484,0.2374
4,4,Y,N,M,3,2,72.888,72.792,71.612,71.596,72.84,71.604,0.2472
4,4,Y,N,M,4,1,72.891,72.83,71.68,71.682,72.8605,71.681,0.2359
4,4,Y,N,M,4,2,75.023,75.026,73.796,73.826,75.0245,73.811,0.2427
4,5,N,Y,F,1,1,77.063,77.06,75.71,75.714,77.0615,75.712,0.2699
4,5,N,Y,M,1,2,64.411,64.406,63.392,63.388,64.4085,63.39,0.2037
4,5,N,Y,F,2,1,56.615,56.58,55.099,55.09,56.5975,55.0945,0.3006
4,5,N,Y,M,2,2,55.299,55.309,54.426,54.42,55.304,54.423,0.1762
4,5,N,Y,F,3,1,63.496,63.518,62.061,62.055,63.507,62.058,0.2898
4,5,N,Y,M,3,2,45.961,45.97,44.936,44.931,45.9655,44.9335,0.2064
4,5,N,Y,F,4,1,79.885,79.883,78.229,78.29,79.884,78.2595,0.3249
4,5,N,Y,M,4,2,66.846,66.941,65.997,65.861,66.8935,65.929,0.1929
4,6,N,Y,F,1,1,69.214,69.171,67.647,67.639,69.1925,67.643,0.3099
